Port Number,Service Name,Transport Protocol,Description,Source
50020,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50020,Siemens Spectrum Power TG,udp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50021,Siemens Spectrum Power TG,udp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50025,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50026,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50027,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50028,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50110,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50111,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
55000,FL-net Reception,udp,FL-net Reception,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
55001,FL-net Reception,udp,FL-net Reception,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
55002,FL-net Reception,udp,FL-net Reception,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
55003,FL-net Transmission,udp,FL-net Transmission,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
55555,Foxboor/Invensys Foxboro DCS FoxAPI,"tcp, udp",Foxboor/Invensys Foxboro DCS FoxAPI,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56001,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56002,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56003,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56004,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56005,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56006,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56007,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56008,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56009,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56010,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56011,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56012,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56013,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56014,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56015,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56016,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56017,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56018,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56019,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56020,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56021,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56022,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
