Port Number,Service Name,Transport Protocol,Description,Source,System Type
5254,logcabin,"tcp, udp",LogCabin storage service,IANA,IT
5264,3com-njack-1,"tcp, udp",3Com Network Jack Port 1,IANA,IT
5265,3com-njack-2,"tcp, udp",3Com Network Jack Port 2,IANA,IT
5269,xmpp-server,"tcp, udp",XMPP Server Connection,IANA,IT
5270,cartographerxmp,"tcp, udp",Cartographer XMP,IANA,IT
5271,"cuelink-disc, cuelink","tcp, udp","StageSoft CueLink messaging, StageSoft CueLink discovery",IANA,IT
5272,pk,"tcp, udp",PK,IANA,IT
5280,xmpp-bosh,"tcp, udp",Bidirectional-streams Over Synchronous HTTP (BOSH),IANA,IT
5281,undo-lm,"tcp, udp",Undo License Manager,IANA,IT
5282,transmit-port,"tcp, udp",Marimba Transmitter Port,IANA,IT
5298,presence,"tcp, udp",XMPP Link-Local Messaging,IANA,IT
5299,nlg-data,"tcp, udp",NLG Data Service,IANA,IT
5300,hacl-hb,"tcp, udp",HA cluster heartbeat,IANA,IT
5301,hacl-gs,"tcp, udp",HA cluster general services,IANA,IT
5302,hacl-cfg,"tcp, udp",HA cluster configuration,IANA,IT
5303,hacl-probe,"tcp, udp",HA cluster probing,IANA,IT
5304,hacl-local,"tcp, udp",HA Cluster Commands,IANA,IT
5305,hacl-test,"tcp, udp",HA Cluster Test,IANA,IT
5306,sun-mc-grp,"tcp, udp",Sun MC Group,IANA,IT
5307,sco-aip,"tcp, udp",SCO AIP,IANA,IT
5308,cfengine,"tcp, udp",CFengine,IANA,IT
5309,jprinter,"tcp, udp",J Printer,IANA,IT
5310,outlaws,"tcp, udp",Outlaws,IANA,IT
5312,permabit-cs,"tcp, udp",Permabit Client-Server,IANA,IT
5313,rrdp,"tcp, udp",Real-time & Reliable Data,IANA,IT
5314,opalis-rbt-ipc,"tcp, udp",opalis-rbt-ipc,IANA,IT
5315,hacl-poll,"tcp, udp",HA Cluster UDP Polling,IANA,IT
5316,hpbladems,"tcp, udp",HPBladeSystem Monitor Service,IANA,IT
5317,hpdevms,"tcp, udp",HP Device Monitor Service,IANA,IT
5318,pkix-cmc,"tcp, udp",PKIX Certificate Management using CMS (CMC),IANA,IT
