Port Number,Service Name,Transport Protocol,Description,Source,System Type
2215,ipcore,"tcp, udp",IPCore.co.za GPRS,IANA,IT
2216,vtu-comms,"tcp, udp",VTU data service,IANA,IT
2217,gotodevice,"tcp, udp",GoToDevice Device Management,IANA,IT
2218,bounzza,"tcp, udp",Bounzza IRC Proxy,IANA,IT
2219,netiq-ncap,"tcp, udp",NetIQ NCAP Protocol,IANA,IT
2220,netiq,"tcp, udp",NetIQ End2End,IANA,IT
2221,ethernet-ip-s,"tcp, udp","EtherNet/IP over DTLS, EtherNet/IP over TLS",IANA,ICS
2222,EtherNet/IP,udp,EtherNet/IP,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
2223,rockwell-csp2,"tcp, udp",Rockwell CSP2,IANA,IT
2224,efi-mg,"tcp, udp",Easy Flexible Internet/Multiplayer Games,IANA,IT
2225,"nan, rcip-itu","sctp, tcp, udp","Resource Connection Initiation Protocol, Reserved",IANA,IT
2226,di-drm,"tcp, udp",Digital Instinct DRM,IANA,IT
2227,di-msg,"tcp, udp",DI Messaging Service,IANA,IT
2228,ehome-ms,"tcp, udp",eHome Message Server,IANA,IT
2229,datalens,"tcp, udp",DataLens Service,IANA,IT
2230,queueadm,"tcp, udp",MetaSoft Job Queue Administration Service,IANA,IT
2231,wimaxasncp,"tcp, udp",WiMAX ASN Control Plane Protocol,IANA,IT
2232,ivs-video,"tcp, udp",IVS Video default,IANA,IT
2233,infocrypt,"tcp, udp",INFOCRYPT,IANA,IT
2234,directplay,"tcp, udp",DirectPlay,IANA,IT
2235,sercomm-wlink,"tcp, udp",Sercomm-WLink,IANA,IT
2236,nani,"tcp, udp",Nani,IANA,IT
2237,optech-port1-lm,"tcp, udp",Optech Port1 License Manager,IANA,IT
2238,aviva-sna,"tcp, udp",AVIVA SNA SERVER,IANA,IT
2239,imagequery,"tcp, udp",Image Query,IANA,IT
2240,recipe,"tcp, udp",RECIPe,IANA,IT
2241,ivsd,"tcp, udp",IVS Daemon,IANA,IT
2242,foliocorp,"tcp, udp",Folio Remote Server,IANA,IT
2243,magicom,"tcp, udp",Magicom Protocol,IANA,IT
2244,nmsserver,"tcp, udp",NMS Server,IANA,IT
2245,hao,"tcp, udp",HaO,IANA,IT
2246,pc-mta-addrmap,"tcp, udp",PacketCable MTA Addr Map,IANA,IT
2247,antidotemgrsvr,"tcp, udp",Antidote Deployment Manager Service,IANA,IT
2248,ums,"tcp, udp",User Management Service,IANA,IT
2249,rfmp,"tcp, udp",RISO File Manager Protocol,IANA,IT
2250,remote-collab,"tcp, udp",remote-collab,IANA,IT
2251,dif-port,"tcp, udp",Distributed Framework Port,IANA,IT
2252,njenet-ssl,"tcp, udp",NJENET using SSL,IANA,IT
2253,dtv-chan-req,"tcp, udp",DTV Channel Request,IANA,IT
2254,seispoc,"tcp, udp",Seismic P.O.C. Port,IANA,IT
2255,vrtp,"tcp, udp",VRTP - ViRtue Transfer Protocol,IANA,IT
2256,pcc-mfp,"tcp, udp",PCC MFP,IANA,IT
2257,simple-tx-rx,"tcp, udp",simple text/file transfer,IANA,IT
2258,rcts,"tcp, udp",Rotorcraft Communications Test System,IANA,IT
2259,bid-serv,"tcp, udp",BIF identifiers resolution service,IANA,IT
2260,apc-2260,"tcp, udp",APC 2260,IANA,IT
2261,comotionmaster,"tcp, udp",CoMotion Master Server,IANA,IT
2262,comotionback,"tcp, udp",CoMotion Backup Server,IANA,IT
2263,ecwcfg,"tcp, udp",ECweb Configuration Service,IANA,IT
2264,apx500api-1,"tcp, udp",Audio Precision Apx500 API Port 1,IANA,IT
2265,apx500api-2,"tcp, udp",Audio Precision Apx500 API Port 2,IANA,IT
2266,mfserver,"tcp, udp","M-files Server, M-Files Server",IANA,IT
2267,ontobroker,"tcp, udp",OntoBroker,IANA,IT
2268,amt,"tcp, udp",AMT,IANA,IT
2269,mikey,"tcp, udp",MIKEY,IANA,IT
2270,starschool,"tcp, udp",starSchool,IANA,IT
2271,mmcals,"tcp, udp",Secure Meeting Maker Scheduling,IANA,IT
2272,mmcal,"tcp, udp",Meeting Maker Scheduling,IANA,IT
2273,mysql-im,"tcp, udp",MySQL Instance Manager,IANA,IT
2274,pcttunnell,"tcp, udp",PCTTunneller,IANA,IT
2275,ibridge-data,"tcp, udp",iBridge Conferencing,IANA,IT
2276,ibridge-mgmt,"tcp, udp",iBridge Management,IANA,IT
2277,bluectrlproxy,"tcp, udp",Bt device control proxy,IANA,IT
2278,s3db,"tcp, udp",Simple Stacked Sequences Database,IANA,IT
2279,xmquery,"tcp, udp",xmquery,IANA,IT
2280,lnvpoller,"tcp, udp",LNVPOLLER,IANA,IT
2281,lnvconsole,"tcp, udp",LNVCONSOLE,IANA,IT
2282,lnvalarm,"tcp, udp",LNVALARM,IANA,IT
2283,lnvstatus,"tcp, udp",LNVSTATUS,IANA,IT
2284,lnvmaps,"tcp, udp",LNVMAPS,IANA,IT
2285,lnvmailmon,"tcp, udp",LNVMAILMON,IANA,IT
2286,nas-metering,"tcp, udp",NAS-Metering,IANA,IT
2287,dna,"tcp, udp",DNA,IANA,IT
2288,netml,"tcp, udp",NETML,IANA,IT
2289,dict-lookup,"tcp, udp",Lookup dict server,IANA,IT
2290,sonus-logging,"tcp, udp",Sonus Logging Services,IANA,IT
2291,eapsp,"tcp, udp",EPSON Advanced Printer Share Protocol,IANA,IT
2292,mib-streaming,"tcp, udp",Sonus Element Management Services,IANA,IT
2293,npdbgmngr,"tcp, udp",Network Platform Debug Manager,IANA,IT
2294,konshus-lm,"tcp, udp",Konshus License Manager (FLEX),IANA,IT
2295,advant-lm,"tcp, udp",Advant License Manager,IANA,IT
2296,theta-lm,"tcp, udp",Theta License Manager (Rainbow),IANA,IT
2297,d2k-datamover1,"tcp, udp",D2K DataMover 1,IANA,IT
2298,d2k-datamover2,"tcp, udp",D2K DataMover 2,IANA,IT
2299,pc-telecommute,"tcp, udp",PC Telecommute,IANA,IT
2300,cvmmon,"tcp, udp",CVMMON,IANA,IT
2301,cpq-wbem,"tcp, udp",Compaq HTTP,IANA,IT
2302,binderysupport,"tcp, udp",Bindery Support,IANA,IT
2303,proxy-gateway,"tcp, udp",Proxy Gateway,IANA,IT
2304,attachmate-uts,"tcp, udp",Attachmate UTS,IANA,IT
2305,mt-scaleserver,"tcp, udp",MT ScaleServer,IANA,IT
2306,tappi-boxnet,"tcp, udp",TAPPI BoxNet,IANA,IT
2307,pehelp,"tcp, udp",pehelp,IANA,IT
2308,sdhelp,"tcp, udp",sdhelp,IANA,IT
2309,sdserver,"tcp, udp",SD Server,IANA,IT
2310,sdclient,"tcp, udp",SD Client,IANA,IT
2311,messageservice,"tcp, udp",Message Service,IANA,IT
2312,wanscaler,"tcp, udp",WANScaler Communication Service,IANA,IT
2313,iapp,"tcp, udp",IAPP (Inter Access Point Protocol),IANA,IT
2314,cr-websystems,"tcp, udp",CR WebSystems,IANA,IT
2315,precise-sft,"tcp, udp",Precise Sft.,IANA,IT
2316,sent-lm,"tcp, udp",SENT License Manager,IANA,IT
2317,attachmate-g32,"tcp, udp",Attachmate G32,IANA,IT
2318,cadencecontrol,"tcp, udp",Cadence Control,IANA,IT
2319,infolibria,"tcp, udp",InfoLibria,IANA,IT
2320,siebel-ns,"tcp, udp",Siebel NS,IANA,IT
2321,rdlap,"tcp, udp",RDLAP,IANA,IT
2322,ofsd,"tcp, udp",ofsd,IANA,IT
2323,3d-nfsd,"tcp, udp",3d-nfsd,IANA,IT
2324,cosmocall,"tcp, udp",Cosmocall,IANA,IT
2325,ansysli,"tcp, udp",ANSYS Licensing Interconnect,IANA,IT
2326,idcp,"tcp, udp",IDCP,IANA,IT
2327,xingcsm,"tcp, udp",xingcsm,IANA,IT
2328,netrix-sftm,"tcp, udp",Netrix SFTM,IANA,IT
2329,nvd,"tcp, udp",NVD,IANA,IT
2330,tscchat,"tcp, udp",TSCCHAT,IANA,IT
2331,agentview,"tcp, udp",AGENTVIEW,IANA,IT
2332,rcc-host,"tcp, udp",RCC Host,IANA,IT
2333,snapp,"tcp, udp",SNAPP,IANA,IT
2334,ace-client,"tcp, udp",ACE Client Auth,IANA,IT
2335,ace-proxy,"tcp, udp",ACE Proxy,IANA,IT
2336,appleugcontrol,"tcp, udp",Apple UG Control,IANA,IT
2337,ideesrv,"tcp, udp",ideesrv,IANA,IT
2338,norton-lambert,"tcp, udp",Norton Lambert,IANA,IT
2339,3com-webview,"tcp, udp",3Com WebView,IANA,IT
2340,"wrs-registry, wrs_registry","tcp, udp","WRS Registry, WRS Registry
IANA assigned this well-formed service name as a replacement for ""wrs_registry"".",IANA,IT
2341,xiostatus,"tcp, udp",XIO Status,IANA,IT
2342,manage-exec,"tcp, udp",Seagate Manage Exec,IANA,IT
2343,nati-logos,"tcp, udp",nati logos,IANA,IT
2344,fcmsys,"tcp, udp",fcmsys,IANA,IT
2345,dbm,"tcp, udp",dbm,IANA,IT
2346,"redstorm-join, redstorm_join","tcp, udp","Game Connection Port
IANA assigned this well-formed service name as a replacement for ""redstorm_join""., Game Connection Port",IANA,IT
2347,"redstorm_find, redstorm-find","tcp, udp","Game Announcement and Location
IANA assigned this well-formed service name as a replacement for ""redstorm_find""., Game Announcement and Location",IANA,IT
2348,"redstorm_info, redstorm-info","tcp, udp","Information to query for game status, Information to query for game status
IANA assigned this well-formed service name as a replacement for ""redstorm_info"".",IANA,IT
2349,"redstorm-diag, redstorm_diag","tcp, udp","Diagnostics Port
IANA assigned this well-formed service name as a replacement for ""redstorm_diag""., Diagnostics Port",IANA,IT
2350,psbserver,"tcp, udp",Pharos Booking Server,IANA,IT
2351,psrserver,"tcp, udp",psrserver,IANA,IT
2352,pslserver,"tcp, udp",pslserver,IANA,IT
2353,pspserver,"tcp, udp",pspserver,IANA,IT
2354,psprserver,"tcp, udp",psprserver,IANA,IT
2355,psdbserver,"tcp, udp",psdbserver,IANA,IT
2356,gxtelmd,"tcp, udp",GXT License Managemant,IANA,IT
2357,unihub-server,"tcp, udp",UniHub Server,IANA,IT
2358,futrix,"tcp, udp",Futrix,IANA,IT
2359,flukeserver,"tcp, udp",FlukeServer,IANA,IT
2360,nexstorindltd,"tcp, udp",NexstorIndLtd,IANA,IT
2361,tl1,"tcp, udp",TL1,IANA,IT
2362,digiman,"tcp, udp",digiman,IANA,IT
2363,mediacntrlnfsd,"tcp, udp",Media Central NFSD,IANA,IT
2364,oi-2000,"tcp, udp",OI-2000,IANA,IT
2365,dbref,"tcp, udp",dbref,IANA,IT
2366,qip-login,"tcp, udp",qip-login,IANA,IT
2367,service-ctrl,"tcp, udp",Service Control,IANA,IT
2368,opentable,"tcp, udp",OpenTable,IANA,IT
2369,bif-p2p,"tcp, udp",Blockchain Identifier InFrastructure P2P,IANA,IT
2370,l3-hbmon,"tcp, udp",L3-HBMon,IANA,IT
2371,rda,"tcp, udp",Remote Device Access,IANA,IT
2372,lanmessenger,"tcp, udp",LanMessenger,IANA,IT
2373,remographlm,"tcp, udp",Remograph License Manager,IANA,IT
2374,hydra,"tcp, udp",Hydra RPC,IANA,IT
2375,docker,"tcp, udp",Docker REST API (plain text),IANA,IT
2376,docker-s,tcp,Docker REST API (ssl),IANA,IT
2377,swarm,"tcp, udp",RPC interface for Docker Swarm,IANA,IT
2378,dali,"tcp, udp",DALI lighting control,IANA,IT
2379,etcd-client,"tcp, udp",etcd client communication,IANA,IT
2380,etcd-server,"tcp, udp",etcd server to server communication,IANA,IT
2381,compaq-https,"tcp, udp",Compaq HTTPS,IANA,IT
2382,ms-olap3,"tcp, udp",Microsoft OLAP,IANA,IT
2383,ms-olap4,"tcp, udp",Microsoft OLAP,IANA,IT
2384,"sd-request, sd-capacity","tcp, udp","SD-REQUEST, SD-CAPACITY",IANA,IT
2385,sd-data,"tcp, udp",SD-DATA,IANA,IT
2386,virtualtape,"tcp, udp",Virtual Tape,IANA,IT
2387,vsamredirector,"tcp, udp",VSAM Redirector,IANA,IT
2388,mynahautostart,"tcp, udp",MYNAH AutoStart,IANA,IT
2389,ovsessionmgr,"tcp, udp",OpenView Session Mgr,IANA,IT
2390,rsmtp,"tcp, udp",RSMTP,IANA,IT
2391,3com-net-mgmt,"tcp, udp",3COM Net Management,IANA,IT
2392,tacticalauth,"tcp, udp",Tactical Auth,IANA,IT
2393,ms-olap1,"tcp, udp",MS OLAP 1,IANA,IT
2394,ms-olap2,"tcp, udp",MS OLAP 2,IANA,IT
2395,"lan900_remote, lan900-remote","tcp, udp","LAN900 Remote
IANA assigned this well-formed service name as a replacement for ""lan900_remote""., LAN900 Remote",IANA,IT
2396,wusage,"tcp, udp",Wusage,IANA,IT
2397,ncl,"tcp, udp",NCL,IANA,IT
2398,orbiter,"tcp, udp",Orbiter,IANA,IT
2399,fmpro-fdal,"tcp, udp","FileMaker, Inc. - Data Access Layer",IANA,IT
2400,opequus-server,"tcp, udp",OpEquus Server,IANA,IT
2401,cvspserver,"tcp, udp",cvspserver,IANA,IT
2402,taskmaster2000,"tcp, udp",TaskMaster 2000 Server,IANA,IT
2403,taskmaster2000,"tcp, udp",TaskMaster 2000 Web,IANA,IT
2404,iec-104,"tcp, udp",IEC 60870-5-104 process control over IP,IANA,IT
2405,trc-netpoll,"tcp, udp",TRC Netpoll,IANA,IT
2406,jediserver,"tcp, udp",JediServer,IANA,IT
2407,orion,"tcp, udp",Orion,IANA,IT
2408,railgun-webaccl,"tcp, udp",CloudFlare Railgun Web Acceleration Protocol,IANA,IT
2409,sns-protocol,"tcp, udp",SNS Protocol,IANA,IT
2410,vrts-registry,"tcp, udp",VRTS Registry,IANA,IT
2411,netwave-ap-mgmt,"tcp, udp",Netwave AP Management,IANA,IT
2412,cdn,"tcp, udp",CDN,IANA,IT
2413,orion-rmi-reg,"tcp, udp",orion-rmi-reg,IANA,IT
2414,beeyond,"tcp, udp",Beeyond,IANA,IT
2415,codima-rtp,"tcp, udp",Codima Remote Transaction Protocol,IANA,IT
2416,rmtserver,"tcp, udp",RMT Server,IANA,IT
2417,composit-server,"tcp, udp",Composit Server,IANA,IT
2418,cas,"tcp, udp",cas,IANA,IT
2419,attachmate-s2s,"tcp, udp",Attachmate S2S,IANA,IT
2420,dslremote-mgmt,"tcp, udp",DSL Remote Management,IANA,IT
2421,g-talk,"tcp, udp",G-Talk,IANA,IT
2422,crmsbits,"tcp, udp",CRMSBITS,IANA,IT
2423,rnrp,"tcp, udp",RNRP,IANA,IT
2424,kofax-svr,"tcp, udp",KOFAX-SVR,IANA,IT
2425,fjitsuappmgr,"tcp, udp",Fujitsu App Manager,IANA,IT
2426,vcmp,"tcp, udp",VeloCloud MultiPath Protocol,IANA,IT
2427,mgcp-gateway,"tcp, udp",Media Gateway Control Protocol Gateway,IANA,IT
2428,ott,"tcp, udp",One Way Trip Time,IANA,IT
2429,ft-role,"tcp, udp",FT-ROLE,IANA,IT
2430,venus,"tcp, udp",venus,IANA,IT
2431,venus-se,"tcp, udp",venus-se,IANA,IT
2432,codasrv,"tcp, udp",codasrv,IANA,IT
2433,codasrv-se,"tcp, udp",codasrv-se,IANA,IT
2434,pxc-epmap,"tcp, udp",pxc-epmap,IANA,IT
2435,optilogic,"tcp, udp",OptiLogic,IANA,IT
2436,topx,"tcp, udp",TOP/X,IANA,IT
2437,unicontrol,"tcp, udp",UniControl,IANA,IT
2438,msp,"tcp, udp",MSP,IANA,IT
2439,sybasedbsynch,"tcp, udp",SybaseDBSynch,IANA,IT
2440,spearway,"tcp, udp",Spearway Lockers,IANA,IT
2441,pvsw-inet,"tcp, udp",Pervasive I*net Data Server,IANA,IT
2442,netangel,"tcp, udp",Netangel,IANA,IT
2443,powerclientcsf,"tcp, udp",PowerClient Central Storage Facility,IANA,IT
2444,btpp2sectrans,"tcp, udp",BT PP2 Sectrans,IANA,IT
2445,dtn1,"tcp, udp",DTN1,IANA,IT
2446,"bues_service, bues-service","tcp, udp","bues_service, bues_service
IANA assigned this well-formed service name as a replacement for ""bues_service"".",IANA,IT
2447,ovwdb,"tcp, udp",OpenView NNM daemon,IANA,IT
2448,hpppssvr,"tcp, udp",hpppsvr,IANA,IT
2449,ratl,"tcp, udp",RATL,IANA,IT
2450,netadmin,"tcp, udp",netadmin,IANA,IT
2451,netchat,"tcp, udp",netchat,IANA,IT
2452,snifferclient,"tcp, udp",SnifferClient,IANA,IT
2453,madge-ltd,"tcp, udp",madge ltd,IANA,IT
2454,indx-dds,"tcp, udp",IndX-DDS,IANA,IT
2455,wago-io-system,"tcp, udp",WAGO-IO-SYSTEM,IANA,IT
2456,altav-remmgt,"tcp, udp",altav-remmgt,IANA,IT
2457,rapido-ip,"tcp, udp",Rapido_IP,IANA,IT
2458,griffin,"tcp, udp",griffin,IANA,IT
2459,xrpl,"tcp, udp",Community,IANA,IT
2460,ms-theater,"tcp, udp",ms-theater,IANA,IT
2461,qadmifoper,"tcp, udp",qadmifoper,IANA,IT
2462,qadmifevent,"tcp, udp",qadmifevent,IANA,IT
2463,lsi-raid-mgmt,"tcp, udp",LSI RAID Management,IANA,IT
2464,direcpc-si,"tcp, udp",DirecPC SI,IANA,IT
2465,lbm,"tcp, udp",Load Balance Management,IANA,IT
2466,lbf,"tcp, udp",Load Balance Forwarding,IANA,IT
2467,high-criteria,"tcp, udp",High Criteria,IANA,IT
2468,qip-msgd,"tcp, udp",qip_msgd,IANA,IT
2469,mti-tcs-comm,"tcp, udp",MTI-TCS-COMM,IANA,IT
2470,taskman-port,"tcp, udp",taskman port,IANA,IT
2471,seaodbc,"tcp, udp",SeaODBC,IANA,IT
2472,c3,"tcp, udp",C3,IANA,IT
2473,aker-cdp,"tcp, udp",Aker-cdp,IANA,IT
2474,vitalanalysis,"tcp, udp",Vital Analysis,IANA,IT
2475,ace-server,"tcp, udp",ACE Server,IANA,IT
2476,ace-svr-prop,"tcp, udp",ACE Server Propagation,IANA,IT
2477,ssm-cvs,"tcp, udp",SecurSight Certificate Valifation Service,IANA,IT
2478,ssm-cssps,"tcp, udp",SecurSight Authentication Server (SSL),IANA,IT
2479,ssm-els,"tcp, udp",SecurSight Event Logging Server (SSL),IANA,IT
2480,powerexchange,"tcp, udp",Informatica PowerExchange Listener,IANA,IT
2481,giop,"tcp, udp",Oracle GIOP,IANA,IT
2482,giop-ssl,"tcp, udp",Oracle GIOP SSL,IANA,IT
2483,ttc,"tcp, udp",Oracle TTC,IANA,IT
2484,ttc-ssl,"tcp, udp",Oracle TTC SSL,IANA,IT
2485,netobjects1,"tcp, udp",Net Objects1,IANA,IT
2486,netobjects2,"tcp, udp",Net Objects2,IANA,IT
2487,pns,"tcp, udp",Policy Notice Service,IANA,IT
2488,moy-corp,"tcp, udp",Moy Corporation,IANA,IT
2489,tsilb,"tcp, udp",TSILB,IANA,IT
2490,qip-qdhcp,"tcp, udp",qip_qdhcp,IANA,IT
2491,conclave-cpp,"tcp, udp",Conclave CPP,IANA,IT
2492,groove,"tcp, udp",GROOVE,IANA,IT
2493,talarian-mqs,"tcp, udp",Talarian MQS,IANA,IT
2494,bmc-ar,"tcp, udp",BMC AR,IANA,IT
2495,fast-rem-serv,"tcp, udp",Fast Remote Services,IANA,IT
2496,dirgis,"tcp, udp",DIRGIS,IANA,IT
2497,quaddb,"tcp, udp",Quad DB,IANA,IT
2498,odn-castraq,"tcp, udp",ODN-CasTraq,IANA,IT
2500,rtsserv,"tcp, udp",Resource Tracking system server,IANA,IT
2501,rtsclient,"tcp, udp",Resource Tracking system client,IANA,IT
2502,kentrox-prot,"tcp, udp",Kentrox Protocol,IANA,IT
2503,nms-dpnss,"tcp, udp",NMS-DPNSS,IANA,IT
2504,wlbs,"tcp, udp",WLBS,IANA,IT
2505,ppcontrol,"tcp, udp",PowerPlay Control,IANA,IT
2506,jbroker,"tcp, udp",jbroker,IANA,IT
2507,spock,"tcp, udp",spock,IANA,IT
2508,jdatastore,"tcp, udp",JDataStore,IANA,IT
2509,fjmpss,"tcp, udp",fjmpss,IANA,IT
2510,fjappmgrbulk,"tcp, udp",fjappmgrbulk,IANA,IT
2511,metastorm,"tcp, udp",Metastorm,IANA,IT
2512,citrixima,"tcp, udp",Citrix IMA,IANA,IT
2513,citrixadmin,"tcp, udp",Citrix ADMIN,IANA,IT
2514,facsys-ntp,"tcp, udp",Facsys NTP,IANA,IT
2515,facsys-router,"tcp, udp",Facsys Router,IANA,IT
2516,maincontrol,"tcp, udp",Main Control,IANA,IT
2517,call-sig-trans,"tcp, udp",H.323 Annex E Call Control Signalling Transport,IANA,IT
2518,willy,"tcp, udp",Willy,IANA,IT
2519,globmsgsvc,"tcp, udp",globmsgsvc,IANA,IT
2520,pvsw,"tcp, udp",Pervasive Listener,IANA,IT
2521,adaptecmgr,"tcp, udp",Adaptec Manager,IANA,IT
2522,windb,"tcp, udp",WinDb,IANA,IT
2523,qke-llc-v3,"tcp, udp",Qke LLC V.3,IANA,IT
2524,optiwave-lm,"tcp, udp",Optiwave License Management,IANA,IT
2525,ms-v-worlds,"tcp, udp",MS V-Worlds,IANA,IT
2526,ema-sent-lm,"tcp, udp",EMA License Manager,IANA,IT
2527,iqserver,"tcp, udp",IQ Server,IANA,IT
2528,"ncr_ccl, ncr-ccl","tcp, udp","NCR CCL
IANA assigned this well-formed service name as a replacement for ""ncr_ccl""., NCR CCL",IANA,IT
2529,utsftp,"tcp, udp",UTS FTP,IANA,IT
2530,vrcommerce,"tcp, udp",VR Commerce,IANA,IT
2531,ito-e-gui,"tcp, udp",ITO-E GUI,IANA,IT
2532,ovtopmd,"tcp, udp",OVTOPMD,IANA,IT
2533,snifferserver,"tcp, udp",SnifferServer,IANA,IT
2534,combox-web-acc,"tcp, udp",Combox Web Access,IANA,IT
2535,madcap,"tcp, udp",MADCAP,IANA,IT
2536,btpp2audctr1,"tcp, udp",btpp2audctr1,IANA,IT
2537,upgrade,"tcp, udp",Upgrade Protocol,IANA,IT
2538,vnwk-prapi,"tcp, udp",vnwk-prapi,IANA,IT
2539,vsiadmin,"tcp, udp",VSI Admin,IANA,IT
2540,lonworks,"tcp, udp",LonWorks,IANA,IT
2541,lonworks2,"tcp, udp",LonWorks2,IANA,IT
2542,udrawgraph,"tcp, udp",uDraw(Graph),IANA,IT
2543,reftek,"tcp, udp",REFTEK,IANA,IT
2544,novell-zen,"tcp, udp",Management Daemon Refresh,IANA,IT
2545,sis-emt,"tcp, udp",sis-emt,IANA,IT
2546,vytalvaultbrtp,"tcp, udp",vytalvaultbrtp,IANA,IT
2547,vytalvaultvsmp,"tcp, udp",vytalvaultvsmp,IANA,IT
2548,vytalvaultpipe,"tcp, udp",vytalvaultpipe,IANA,IT
2549,ipass,"tcp, udp",IPASS,IANA,IT
2550,ads,"tcp, udp",ADS,IANA,IT
2551,isg-uda-server,"tcp, udp",ISG UDA Server,IANA,IT
2552,call-logging,"tcp, udp",Call Logging,IANA,IT
2553,efidiningport,"tcp, udp",efidiningport,IANA,IT
2554,vcnet-link-v10,"tcp, udp",VCnet-Link v10,IANA,IT
2555,compaq-wcp,"tcp, udp",Compaq WCP,IANA,IT
2556,nicetec-nmsvc,"tcp, udp",nicetec-nmsvc,IANA,IT
2557,nicetec-mgmt,"tcp, udp",nicetec-mgmt,IANA,IT
2558,pclemultimedia,"tcp, udp",PCLE Multi Media,IANA,IT
2559,lstp,"tcp, udp",LSTP,IANA,IT
2560,labrat,"tcp, udp",labrat,IANA,IT
2561,mosaixcc,"tcp, udp",MosaixCC,IANA,IT
2562,delibo,"tcp, udp",Delibo,IANA,IT
2563,cti-redwood,"tcp, udp",CTI Redwood,IANA,IT
2564,hp-3000-telnet,"tcp, udp",HP 3000 NS/VT block mode telnet,IANA,IT
2565,coord-svr,"tcp, udp",Coordinator Server,IANA,IT
2566,pcs-pcw,"tcp, udp",pcs-pcw,IANA,IT
2567,clp,"tcp, udp",Cisco Line Protocol,IANA,IT
2568,spamtrap,"tcp, udp",SPAM TRAP,IANA,IT
2569,sonuscallsig,"tcp, udp",Sonus Call Signal,IANA,IT
2570,hs-port,"tcp, udp",HS Port,IANA,IT
2571,cecsvc,"tcp, udp",CECSVC,IANA,IT
2572,ibp,"tcp, udp",IBP,IANA,IT
2573,trustestablish,"tcp, udp",Trust Establish,IANA,IT
2574,blockade-bpsp,"tcp, udp",Blockade BPSP,IANA,IT
2575,hl7,"tcp, udp",HL7,IANA,IT
2576,tclprodebugger,"tcp, udp",TCL Pro Debugger,IANA,IT
2577,scipticslsrvr,"tcp, udp",Scriptics Lsrvr,IANA,IT
2578,rvs-isdn-dcp,"tcp, udp",RVS ISDN DCP,IANA,IT
2579,mpfoncl,"tcp, udp",mpfoncl,IANA,IT
2580,tributary,"tcp, udp",Tributary,IANA,IT
2581,argis-te,"tcp, udp",ARGIS TE,IANA,IT
2582,argis-ds,"tcp, udp",ARGIS DS,IANA,IT
2583,mon,"tcp, udp",MON,IANA,IT
2584,cyaserv,"tcp, udp",cyaserv,IANA,IT
2585,netx-server,"tcp, udp",NETX Server,IANA,IT
2586,netx-agent,"tcp, udp",NETX Agent,IANA,IT
2587,masc,"tcp, udp",MASC,IANA,IT
2588,privilege,"tcp, udp",Privilege,IANA,IT
2589,quartus-tcl,"tcp, udp",quartus tcl,IANA,IT
2590,idotdist,"tcp, udp",idotdist,IANA,IT
2591,maytagshuffle,"tcp, udp",Maytag Shuffle,IANA,IT
2592,netrek,"tcp, udp",netrek,IANA,IT
2593,mns-mail,"tcp, udp",MNS Mail Notice Service,IANA,IT
2594,dts,"tcp, udp",Data Base Server,IANA,IT
2595,worldfusion1,"tcp, udp",World Fusion 1,IANA,IT
2596,worldfusion2,"tcp, udp",World Fusion 2,IANA,IT
2597,homesteadglory,"tcp, udp",Homestead Glory,IANA,IT
2598,citriximaclient,"tcp, udp",Citrix MA Client,IANA,IT
2599,snapd,"tcp, udp",Snap Discovery,IANA,IT
2600,hpstgmgr,"tcp, udp",HPSTGMGR,IANA,IT
2601,discp-client,"tcp, udp",discp client,IANA,IT
2602,discp-server,"tcp, udp",discp server,IANA,IT
2603,servicemeter,"tcp, udp",Service Meter,IANA,IT
2604,nsc-ccs,"tcp, udp",NSC CCS,IANA,IT
2605,nsc-posa,"tcp, udp",NSC POSA,IANA,IT
2606,netmon,"tcp, udp",Dell Netmon,IANA,IT
2607,connection,"tcp, udp",Dell Connection,IANA,IT
2608,wag-service,"tcp, udp",Wag Service,IANA,IT
2609,system-monitor,"tcp, udp",System Monitor,IANA,IT
2610,versa-tek,"tcp, udp",VersaTek,IANA,IT
2611,lionhead,"tcp, udp",LIONHEAD,IANA,IT
2612,qpasa-agent,"tcp, udp",Qpasa Agent,IANA,IT
2613,smntubootstrap,"tcp, udp",SMNTUBootstrap,IANA,IT
2614,neveroffline,"tcp, udp",Never Offline,IANA,IT
2615,firepower,"tcp, udp",firepower,IANA,IT
2616,appswitch-emp,"tcp, udp",appswitch-emp,IANA,IT
2617,cmadmin,"tcp, udp",Clinical Context Managers,IANA,IT
2618,priority-e-com,"tcp, udp",Priority E-Com,IANA,IT
2619,bruce,"tcp, udp",bruce,IANA,IT
2620,lpsrecommender,"tcp, udp",LPSRecommender,IANA,IT
2621,miles-apart,"tcp, udp",Miles Apart Jukebox Server,IANA,IT
2622,metricadbc,"tcp, udp",MetricaDBC,IANA,IT
2623,lmdp,"tcp, udp",LMDP,IANA,IT
2624,aria,"tcp, udp",Aria,IANA,IT
2625,blwnkl-port,"tcp, udp",Blwnkl Port,IANA,IT
2626,gbjd816,"tcp, udp",gbjd816,IANA,IT
2627,moshebeeri,"tcp, udp",Moshe Beeri,IANA,IT
2628,dict,"tcp, udp",DICT,IANA,IT
2629,sitaraserver,"tcp, udp",Sitara Server,IANA,IT
2630,sitaramgmt,"tcp, udp",Sitara Management,IANA,IT
